Date,Open,High,Low,Close,Volume,Adjusted,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2018-01-01,14112.2,14112.2,13154.7,13657.2,10291200000.0,13657.2001953125,14156.4,12952.2,14656.2,957.5,1621.801,2331.801,972.0,455.0,-1258.7,1729.7,39.6,12136299520.0,14452599808.0,13025500160.0,14030.146,14339.295,14832.757,-0.0358999768524143,0
2018-01-02,13625.0,15444.6,13163.6,14982.1,16846600192.0,14982.099609375,13657.2,14156.4,12952.2,2281.0,957.5,1621.801,2331.801,-1357.1,455.0,-1258.7,1729.7,10291200000.0,12136299520.0,14452599808.0,13843.673,14139.514,14645.722,0.0925892597121414,1
2018-01-03,14978.2,15572.8,14844.5,15201.0,16871900160.0,15201.0,14982.1,13657.2,14156.4,728.3,2281.0,957.5,1621.801,-222.8,-1357.1,455.0,-1258.7,16846600192.0,10291200000.0,12136299520.0,14412.886,14386.302,14699.241,0.014505086054969111,1
2018-01-04,15270.7,15739.7,14522.2,15599.2,21783199744.0,15599.2001953125,15201.0,14982.1,13657.2,1217.5,728.3,2281.0,957.5,-328.5,-222.8,-1357.1,455.0,16871900160.0,16846600192.0,10291200000.0,14806.943,14624.921,14779.072,0.02585842824803167,1
2018-01-05,15477.2,17705.199,15202.8,17429.5,23840899072.0,17429.5,15599.2,15201.0,14982.1,2502.399,1217.5,728.3,2281.0,-1952.3,-328.5,-222.8,-1357.1,21783199744.0,16871900160.0,16846600192.0,15203.072,14910.281,14909.558,0.11094452953729485,1
2018-01-06,17462.1,17712.4,16764.6,17527.0,18314600448.0,17527.0,17429.5,15599.2,15201.0,947.801,2502.399,1217.5,728.3,-64.9,-1952.3,-328.5,-222.8,23840899072.0,21783199744.0,16871900160.0,16316.286,15648.143,15310.489,0.005578376143830052,1
2018-01-07,17527.301,17579.6,16087.7,16477.6,15866000384.0,16477.599609375,17527.0,17429.5,15599.2,1491.899,947.801,2502.399,1217.5,1049.701,-64.9,-1952.3,-328.5,18314600448.0,23840899072.0,21783199744.0,16921.643,16198.448,15663.144,-0.061740689989334026,0
2018-01-08,16476.199,16537.9,14208.2,15170.1,18413899776.0,15170.099609375,16477.6,17527.0,17429.5,2329.7,1491.899,947.801,2502.399,1306.1,1049.701,-64.9,-1952.3,15866000384.0,18314600448.0,23840899072.0,16699.621,16280.209,15792.727,-0.08267549955484522,0
2018-01-09,15123.7,15497.5,14424.0,14595.4,16659999744.0,14595.400390625,15170.1,16477.6,17527.0,1073.5,2329.7,1491.899,947.801,528.3,1306.1,1049.701,-64.9,18413899776.0,15866000384.0,18314600448.0,15934.86,15955.066,15693.665,-0.03861992220665626,0
2018-01-10,14588.5,14973.3,13691.2,14973.3,18500800512.0,14973.2998046875,14595.4,15170.1,16477.6,1282.1,1073.5,2329.7,1491.899,-384.8,528.3,1306.1,1049.701,16659999744.0,18413899776.0,15866000384.0,15265.13,15556.829,15518.927,0.025562164635524225,1
2018-01-11,14968.2,15018.8,13105.9,13405.8,16534099968.0,13405.7998046875,14973.3,14595.4,15170.1,1912.899,1282.1,1073.5,2329.7,1562.4,-384.8,528.3,1306.1,18500800512.0,16659999744.0,18413899776.0,15119.215,15385.917,15432.116,-0.11058116741362263,0
2018-01-12,13453.9,14229.9,13158.1,13980.6,12065699840.0,13980.599609375,13405.8,14973.3,14595.4,1071.801,1912.899,1282.1,1073.5,-526.699,1562.4,-384.8,528.3,16534099968.0,18500800512.0,16659999744.0,14262.507,14805.954,15109.722,0.04198319183702074,1
